title,code,stars,genre,director,actor,writer,highest_percentages,highest_age
말할수없는비밀,68555,9.27,멜로/로맨스,주걸륜,주걸륜,주걸륜각본,59,20
가타카,19074,9.27,SF,앤드류니콜,에단호크,앤드류니콜각본,0,0
세상에서가장아름다운이별,79762,9.27,드라마,민규동,배종옥,민규동각본,0,0
퀸락몬트리올,54900,9.27,다큐멘터리,솔스위머,존디콘,솔스위머제작,0,0
취권2,16216,9.27,액션,유가량,성룡,덩징성각본,0,0
이웃집토토로,18781,9.27,애니메이션,미야자키하야오,히다카노리코,미야자키하야오각본,39,30
석양의무법자,13967,9.27,서부,세르지오레오네,클린트이스트우드,세르지오레오네각본,0,0
로마의휴일,10101,9.27,코미디,윌리엄와일러,그레고리펙,이안맥리랜헌터각본,50,30
온리더브레이브,151752,9.26,드라마,조셉코신스키,조슈브롤린,켄놀런각본,45,20
랜드오브마인,144100,9.26,드라마,마틴잔드블리엣,로랜드몰러,마틴잔드블리엣각본,45,20
마이클잭슨의디스이즈잇,70251,9.26,다큐멘터리,케니오테가,마이클잭슨,샹탈피게리공동제작,0,0
에이트빌로우,58323,9.26,모험,프랭크마샬,폴워커,데이빗디길리오각본,0,0
도가니,75413,9.26,드라마,황동혁,공유,황동혁각본,0,0
언플랜드,182525,9.26,드라마,척콘젤만,애슐리브래처,캐리솔로몬각본,30,30
브레이브하트,17162,9.26,액션,멜깁슨,멜깁슨,랜달웰러스각본,0,0
패밀리맨,31159,9.26,코미디,브렛래트너,니콜라스케이지,데이빗다이아몬드각본,0,0
터미네이터,10028,9.26,SF,제임스카메론,아놀드슈왈제네거,제임스카메론각본,0,0
드래곤길들이기3,109193,9.26,애니메이션,딘데블로이스,제이바루첼,딘데블로이스각본,33,40
로보캅,10217,9.25,SF,폴버호벤,피터웰러,에드워드누메이어각본,0,0
본얼티메이텀,59075,9.25,액션,폴그린그래스,맷데이먼,토니길로이각본,42,20
가위손,10936,9.25,판타지,팀버튼,조니뎁,캐롤라인톰슨각본,65,20
RRR:라이즈로어리볼트,218877,9.25,액션,SS라자몰리,주니어N.T.R.,키라바니음악,0,0
토이스토리2,27578,9.25,애니메이션,존라세터,톰행크스,앤드류스탠튼각본,0,0
브링더소울:더무비,187051,9.25,다큐멘터리,박준수,RM,윤지원프로듀서,35,40
또하나의약속,100654,9.25,드라마,김태윤,박철민,김태윤각본,45,20
친정엄마,71932,9.25,드라마,유성엽,김해숙,장혜선각본,0,0
해바라기,44529,9.25,액션,강석범,김래원,강석범각본,0,0
기적,199860,9.25,드라마,이장훈,박정민,손주연각본,39,20
그랜토리노,51462,9.25,범죄,클린트이스트우드,클린트이스트우드,브루스버그만총괄프로듀서,0,0
하이스쿨뮤지컬:졸업반,45774,9.25,뮤지컬,케니오테가,잭에프론,피터바소치니각본,0,0
시스터액트,12393,9.25,코미디,에밀아돌리노,우피골드버그,조셉하워드각본,0,0
"광해,왕이된남자",83893,9.25,드라마,추창민,이병헌,황조윤각본,0,0
신데렐라맨,41375,9.25,드라마,론하워드,러셀크로우,클리프홀링스워스각본,0,0
아저씨,71509,9.25,액션,이정범,원빈,이정범각본,0,0
투게더,36718,9.25,드라마,천카이거,류페이치,천카이거각본,0,0
뷰티풀마인드,34010,9.25,드라마,론하워드,러셀크로우,아키바골즈먼각본,0,0
파워오브원,11295,9.25,드라마,존G.아빌드센,스티븐도프,로버트마크케이먼각본,0,0
피아니스트의전설,29059,9.25,드라마,쥬세페토르나토레,팀로스,쥬세페토르나토레각본,46,20
바람과함께사라지다,10020,9.25,드라마,빅터플레밍,클라크게이블,시드니하워드각본,41,20
부활:그증거,194334,9.24,다큐멘터리,김상철,권오중,김상철각본,39,30
12번째솔저,172980,9.24,전쟁,해럴드즈워트,토마스갈라스타드,페터스카브란각본,50,30
땐뽀걸즈,167107,9.24,다큐멘터리,이승문,이규호,윤중음악,55,20
야쿠자와가족,199269,9.24,드라마,후지이미치히토,아야노고,None,0,0
쿨러닝,16218,9.24,드라마,존터틀타웁,리온,린사이퍼각본,0,0
집으로가는길,29953,9.24,드라마,장이머우,장쯔이,후영촬영,0,0
스피릿,35100,9.24,애니메이션,켈리애스버리,맷데이먼,존푸스코각본,0,0
동급생,148338,9.24,애니메이션,나카무라쇼코,노지마켄지,None,58,20
인크레더블,36798,9.24,애니메이션,브래드버드,크레이그T.넬슨,브래드버드각본,0,0
트루맛쇼,84148,9.24,다큐멘터리,김재환,박나림,예민정제작총괄,0,0
리멤버타이탄,30897,9.24,가족,보아즈야킨,덴젤워싱톤,그레고리알렌하워드각본,0,0
